payment_id,ride_id,payment_method,payment_status,tip_amount
P00001,R00001,UPI,Success,96.06
P00002,R00002,Cash,Pending,19.86
P00003,R00003,Debit Card,Pending,90.34
P00004,R00004,Credit Card,Success,3.9
P00005,R00005,Debit Card,Pending,68.58
P00006,R00006,Credit Card,Success,97.47
P00007,R00007,Debit Card,Failed,40.26
P00008,R00008,Credit Card,Failed,134.48
P00009,R00009,Cash,Pending,8.69
P00010,R00010,Cash,Failed,77.47
P00011,R00011,Cash,Failed,86.85
P00012,R00012,Debit Card,Failed,12.03
P00013,R00013,Cash,Success,60.0
P00014,R00014,UPI,Pending,143.73
P00015,R00015,Credit Card,Failed,29.4
P00016,R00016,Debit Card,Success,36.73
P00017,R00017,UPI,Success,111.83
P00018,R00018,UPI,Pending,24.78
P00019,R00019,Cash,Pending,72.89
P00020,R00020,Credit Card,Failed,38.07
P00021,R00021,Cash,Pending,123.2
P00022,R00022,Cash,Pending,52.15
P00023,R00023,Debit Card,Failed,66.47
P00024,R00024,Credit Card,Pending,73.81
P00025,R00025,Debit Card,Failed,69.64
P00026,R00026,Debit Card,Failed,37.92
P00027,R00027,UPI,Failed,27.7
P00028,R00028,UPI,Success,149.3
P00029,R00029,Cash,Pending,74.99
P00030,R00030,Credit Card,Pending,124.85
P00031,R00031,Debit Card,Success,149.79
P00032,R00032,Credit Card,Success,17.51
P00033,R00033,Debit Card,Success,31.92
P00034,R00034,Cash,Failed,91.9
P00035,R00035,Cash,Pending,127.72
P00036,R00036,UPI,Pending,49.24
P00037,R00037,UPI,Failed,142.64
P00038,R00038,UPI,Pending,95.17
P00039,R00039,Cash,Success,114.16
P00040,R00040,Debit Card,Success,52.88
P00041,R00041,Cash,Success,22.73
P00042,R00042,Cash,Success,74.97
P00043,R00043,Cash,Success,50.71
P00044,R00044,Credit Card,Pending,114.6
P00045,R00045,Credit Card,Failed,9.82
P00046,R00046,Cash,Pending,83.62
P00047,R00047,Credit Card,Pending,85.97
P00048,R00048,Cash,Failed,10.32
P00049,R00049,Credit Card,Failed,136.41
P00050,R00050,Credit Card,Failed,8.07
P00051,R00051,UPI,Success,33.36
P00052,R00052,Debit Card,Success,53.01
P00053,R00053,UPI,Pending,47.68
P00054,R00054,Credit Card,Pending,24.25
P00055,R00055,Credit Card,Failed,97.04
P00056,R00056,Debit Card,Success,38.69
P00057,R00057,Debit Card,Failed,23.43
P00058,R00058,UPI,Failed,55.06
P00059,R00059,Debit Card,Failed,0.39
P00060,R00060,Debit Card,Failed,26.42
P00061,R00061,Cash,Success,26.48
P00062,R00062,UPI,Pending,80.08
P00063,R00063,Cash,Success,28.93
P00064,R00064,Credit Card,Failed,63.64
P00065,R00065,Cash,Failed,16.16
P00066,R00066,Credit Card,Pending,45.98
P00067,R00067,Credit Card,Pending,71.39
P00068,R00068,Debit Card,Failed,6.56
P00069,R00069,UPI,Pending,22.24
P00070,R00070,Debit Card,Pending,59.45
P00071,R00071,UPI,Pending,21.82
P00072,R00072,Credit Card,Success,43.99
P00073,R00073,Credit Card,Pending,84.94
P00074,R00074,Debit Card,Failed,113.68
P00075,R00075,Cash,Pending,3.49
P00076,R00076,Credit Card,Failed,29.29
P00077,R00077,UPI,Failed,144.25
