ride_id,customer_id,driver_id,pickup_datetime,drop_datetime,pickup_location,drop_location,distance_km,fare,payment_method,ride_status
R00001,C0042,D0363,2026-01-23 13:43:04.147694,2026-01-23 14:36:04.147694,IT Park,Metro Station,24.53,466.54,UPI,Cancelled
R00002,C0294,D0054,2026-02-25 06:48:04.147859,2026-02-25 07:24:04.147859,Hospital,Bus Stand,14.33,356.94,Cash,Cancelled
R00003,C0047,D0398,2025-10-06 12:02:04.147903,2025-10-06 12:18:04.147903,Mall,Airport,29.63,619.34,Debit Card,Completed
R00004,C0450,D0366,2025-09-15 03:38:04.147937,2025-09-15 05:08:04.147937,Metro Station,Mall,23.74,523.32,Credit Card,Cancelled
R00005,C0177,D0486,2025-12-12 12:40:04.147965,2025-12-12 14:04:04.147965,Mall,City Center,22.16,442.88,Debit Card,Completed
R00006,C0715,D0449,2025-11-03 17:55:04.147993,2025-11-03 18:25:04.147993,Bus Stand,Mall,13.21,314.78,Credit Card,Completed
R00007,C0240,D0246,2026-03-24 00:44:04.148021,2026-03-24 01:18:04.148021,Hospital,Airport,22.22,495.96,Debit Card,Completed
R00008,C0903,D0067,2026-06-29 16:22:04.148053,2026-06-29 17:48:04.148053,Residential Area,Hospital,21.51,429.18,Credit Card,Completed
R00009,C0823,D0143,2025-10-11 21:21:04.148079,2025-10-11 21:40:04.148079,Mall,Bus Stand,13.41,270.38,Cash,Completed
R00010,C0970,D0308,2026-06-20 22:48:04.148116,2026-06-20 23:09:04.148116,Railway Station,City Center,14.47,300.46,Cash,Cancelled
R00011,C0319,D0064,2026-03-24 16:06:04.148142,2026-03-24 17:29:04.148142,Railway Station,Bus Stand,11.53,244.54,Cash,Cancelled
R00012,C0222,D0416,2025-09-22 10:36:04.148167,2025-09-22 12:01:04.148167,Metro Station,University,21.68,423.24,Debit Card,Cancelled
R00013,C0047,D0449,2026-03-17 05:33:04.148192,2026-03-17 07:02:04.148192,Residential Area,University,14.44,316.92,Cash,Completed
R00014,C0740,D0264,2025-12-28 21:49:04.148230,2025-12-28 22:42:04.148230,Airport,Airport,13.61,330.98,UPI,Completed
R00015,C0901,D0398,2026-03-16 01:58:04.148255,2026-03-16 03:22:04.148255,Mall,Metro Station,21.92,488.56,Credit Card,Completed
R00016,C0268,D0064,2026-01-21 08:27:04.148278,2026-01-21 09:18:04.148278,Railway Station,University,18.98,378.64,Debit Card,Completed
R00017,C0188,D0247,2025-12-16 15:24:04.148301,2025-12-16 16:47:04.148301,City Center,Airport,23.8,486.4,UPI,Completed
R00018,C0205,D0470,2025-12-12 10:56:04.148329,2025-12-12 12:25:04.148329,Bus Stand,Mall,8.03,215.54,UPI,Completed
R00019,C0581,D0236,2025-08-29 05:53:04.148353,2025-08-29 06:46:04.148353,IT Park,Mall,28.89,603.02,Cash,Completed
R00020,C0482,D0082,2025-12-21 18:12:04.148376,2025-12-21 18:38:04.148376,Bus Stand,Hospital,25.74,519.32,Credit Card,Completed
R00021,C0980,D0035,2026-03-10 18:04:04.148398,2026-03-10 18:55:04.148398,Metro Station,Hospital,28.24,560.32,Cash,Cancelled
R00022,C0120,D0385,2025-09-10 04:43:04.148420,2025-09-10 05:13:04.148420,Residential Area,Residential Area,8.45,234.1,Cash,Completed
R00023,C0950,D0319,2025-08-05 01:29:04.148442,2025-08-05 02:14:04.148442,Hospital,Metro Station,29.02,571.36,Debit Card,Cancelled
R00024,C0289,D0426,2025-11-07 20:47:04.148464,2025-11-07 22:00:04.148464,Hospital,Mall,27.63,558.34,Credit Card,Completed
R00025,C0092,D0103,2026-03-15 23:28:04.148486,2026-03-16 00:25:04.148486,Railway Station,City Center,28.79,549.22,Debit Card,Completed
R00026,C0952,D0482,2026-02-09 12:56:04.148508,2026-02-09 13:16:04.148508,Airport,Bus Stand,10.44,244.92,Debit Card,Cancelled
R00027,C0750,D0020,2025-12-18 17:41:04.148530,2025-12-18 18:41:04.148530,City Center,IT Park,25.11,538.98,UPI,Cancelled
R00028,C0926,D0274,2026-03-11 03:30:04.148555,2026-03-11 04:29:04.148555,Hospital,Railway Station,11.43,296.74,UPI,Completed
R00029,C0592,D0159,2026-01-09 19:02:04.148578,2026-01-09 19:15:04.148578,Bus Stand,Railway Station,25.43,543.74,Cash,Completed
R00030,C0965,D0196,2025-08-11 01:58:04.148605,2025-08-11 03:00:04.148605,University,Airport,23.59,480.62,Credit Card,Cancelled
R00031,C0918,D0457,2026-03-24 16:14:04.148632,2026-03-24 16:57:04.148632,Metro Station,Metro Station,29.49,556.82,Debit Card,Cancelled
R00032,C0519,D0081,2026-03-23 00:29:04.148655,2026-03-23 01:11:04.148655,Airport,Hospital,23.08,454.44,Credit Card,Completed
R00033,C0934,D0036,2026-07-05 02:43:04.148677,2026-07-05 04:02:04.148677,Metro Station,Airport,13.87,322.66,Debit Card,Completed
R00034,C0783,D0398,2026-07-01 01:01:04.148699,2026-07-01 01:45:04.148699,Railway Station,Railway Station,21.51,475.18,Cash,Completed
R00035,C0260,D0282,2025-10-18 05:23:04.148722,2025-10-18 06:45:04.148722,Bus Stand,Hospital,23.5,519.0,Cash,Completed
R00036,C0651,D0124,2026-02-05 08:36:04.148744,2026-02-05 09:07:04.148744,Hospital,Mall,26.19,530.42,UPI,Completed
R00037,C0277,D0007,2026-07-12 20:49:04.148767,2026-07-12 21:30:04.148767,Railway Station,IT Park,28.67,574.06,UPI,Completed
